"filename", "language", "JavaScript JSX", "JavaScript", "CSS", "Markdown", "CSV", "Prisma", "MS SQL", "JSON", "JSON with Comments", "YAML", "comment", "blank", "total"
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\ui\textarea.jsx", "JavaScript JSX", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\components\ui\toggle.jsx", "JavaScript JSX", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\features\store\planeElementsStore.jsx", "JavaScript JSX", 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 145
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\globals.css", "CSS", 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 3, 14, 98
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\lib\utils.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\middleware.jsx", "JavaScript JSX", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\utils\manualUtils.jsx", "JavaScript JSX", 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 181
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\src\zod\schemas.jsx", "JavaScript JSX", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\darsh\OneDrive\Desktop\Code\MERN Web Dev\Graphi\tailwind.config.js", "JavaScript", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 88
"Total", "-", 4773, 201, 81, 3, 573, 104, 125, 9934, 11, 15, 90, 1035, 16945
